order,ifdefined_name,chapter_title,label,file_path,chapter_type,is_enabled,status,story_file_exists,story_file_path,summary_file_exists,summary_file_path,has_summary_file
1,show_01_BanachTarskiParadox,BanachTarskiParadox,ch:banach,01_BanachTarskiParadox,chapterwithsummaryfromfile,True,ENABLED,True,01_BanachTarskiParadox,True,01_BanachTarskiParadox/summary.tex,True
2,show_02_TopologicalInsulators,TopologicalInsulators,ch:topologicalinsulators,02_TopologicalInsulators,chapterwithsummaryfromfile,False,DISABLED,True,02_TopologicalInsulators,True,02_TopologicalInsulators/summary.tex,True
3,show_03_GoldRelativity,GoldRelativity,ch:goldrelativity,03_GoldRelativity,chapterwithsummaryfromfile,False,DISABLED,True,03_GoldRelativity,True,03_GoldRelativity/summary.tex,True
4,show_04_EMFieldsEnergyFlow,EMFieldsEnergyFlow,ch:energytransmission,04_EMFieldsEnergyFlow,chapterwithsummaryfromfile,False,DISABLED,True,04_EMFieldsEnergyFlow,True,04_EMFieldsEnergyFlow/summary.tex,True
5,show_05_CircleWheel,CircleWheel,ch:circlewheel,05_CircleWheel,chapterwithsummaryfromfile,False,DISABLED,True,05_CircleWheel,True,05_CircleWheel/summary.tex,True
6,show_06_GravityTimeDilation,GravityTimeDilation,ch:gravitytimedilation,06_GravityTimeDilation,chapterwithsummaryfromfile,False,DISABLED,True,06_GravityTimeDilation,True,06_GravityTimeDilation/summary.tex,True
7,show_07_BilliardsConicsPorism,BilliardsConicsPorism,ch:billiardsconicsporism,07_BilliardsConicsPorism,chapterwithsummaryfromfile,True,ENABLED,True,07_BilliardsConicsPorism,True,07_BilliardsConicsPorism/summary.tex,True
8,show_08_BoundedPrimeGaps,BoundedPrimeGaps,ch:boundedprimegaps,08_BoundedPrimeGaps,chapterwithsummaryfromfile,False,DISABLED,True,08_BoundedPrimeGaps,True,08_BoundedPrimeGaps/summary.tex,True
9,show_09_ArrowTheoremTopology,ArrowTheoremTopology,ch:arrowtheoremtopology,09_ArrowTheoremTopology,chapterwithsummaryfromfile,False,DISABLED,True,09_ArrowTheoremTopology,True,09_ArrowTheoremTopology/summary.tex,True
10,show_10_SolarFusionQuantumTunneling,SolarFusionQuantumTunneling,ch:solarfusionquantumtunneling,10_SolarFusionQuantumTunneling,chapterwithsummaryfromfile,False,DISABLED,True,10_SolarFusionQuantumTunneling,True,10_SolarFusionQuantumTunneling/summary.tex,True
11,show_11_AcceleratingUniverse,AcceleratingUniverse,ch:acceleratinguniverse,11_AcceleratingUniverse,chapterwithsummaryfromfile,False,DISABLED,True,11_AcceleratingUniverse,True,11_AcceleratingUniverse/summary.tex,True
12,show_12_GSMEncryptionOrder,GSMEncryptionOrder,ch:gsmencryptionorder,12_GSMEncryptionOrder,chapterwithsummaryfromfile,False,DISABLED,True,12_GSMEncryptionOrder,True,12_GSMEncryptionOrder/summary.tex,True
13,show_13_PoissonsSpot,PoissonsSpot,ch:poissonsspot,13_PoissonsSpot,chapterwithsummaryfromfile,False,DISABLED,True,13_PoissonsSpot,True,13_PoissonsSpot/summary.tex,True
14,show_14_CompactTwinParadox,CompactTwinParadox,ch:compacttwinparadox,14_CompactTwinParadox,chapterwithsummaryfromfile,False,DISABLED,True,14_CompactTwinParadox,True,14_CompactTwinParadox/summary.tex,True
15,show_15_EnvelopeParadox,EnvelopeParadox,ch:envelopeparadox,15_EnvelopeParadox,chapterwithsummaryfromfile,True,ENABLED,True,15_EnvelopeParadox,True,15_EnvelopeParadox/summary.tex,True
16,show_16_ShoelaceKnotMechanics,ShoelaceKnotMechanics,ch:shoelaceknotmechanics,16_ShoelaceKnotMechanics,chapterwithsummaryfromfile,True,ENABLED,True,16_ShoelaceKnotMechanics,True,16_ShoelaceKnotMechanics/summary.tex,True
17,show_17_TorricellisTrumpet,TorricellisTrumpet,ch:torricellistrumpet,17_TorricellisTrumpet,chapterwithsummaryfromfile,True,ENABLED,True,17_TorricellisTrumpet,True,17_TorricellisTrumpet/summary.tex,True
18,show_18_SpeculativeExecutionAttacks,SpeculativeExecutionAttacks,ch:speculativeexecutionattacks,18_SpeculativeExecutionAttacks,chapterwithsummaryfromfile,True,ENABLED,True,18_SpeculativeExecutionAttacks,True,18_SpeculativeExecutionAttacks/summary.tex,True
19,show_19_CosmicRayMuons,CosmicRayMuons,ch:cosmicraymuons,19_CosmicRayMuons,chapterwithsummaryfromfile,True,ENABLED,True,19_CosmicRayMuons,True,19_CosmicRayMuons/summary.tex,True
20,show_20_ChineseRoomArgument,ChineseRoomArgument,ch:chineseroomargument,20_ChineseRoomArgument,chapterwithsummaryfromfile,True,ENABLED,True,20_ChineseRoomArgument,True,20_ChineseRoomArgument/summary.tex,True
21,show_21_ExponentialMapsLieTheory,ExponentialMapsLieTheory,ch:exponentialmapslietheory,21_ExponentialMapsLieTheory,chapterwithsummaryfromfile,True,ENABLED,True,21_ExponentialMapsLieTheory,True,21_ExponentialMapsLieTheory/summary.tex,True
22,show_22_Creepers,MinecraftCreeper,ch:minecraftcreeper,22_MinecraftCreeper,chapterwithsummaryfromfile,True,ENABLED,True,22_MinecraftCreeper,True,22_MinecraftCreeper/summary.tex,True
23,show_23_BlackHoleTimeDilationRedshift,BlackHoleTimeDilationRedshift,ch:blackholetimedilationredshift,23_BlackHoleTimeDilationRedshift,chapterwithsummaryfromfile,True,ENABLED,True,23_BlackHoleTimeDilationRedshift,True,23_BlackHoleTimeDilationRedshift/summary.tex,True
24,show_24_FourDSpacetime,FourDSpacetime,ch:4dspacetime,24_FourDSpacetime,chapterwithsummaryfromfile,True,ENABLED,True,24_FourDSpacetime,True,24_FourDSpacetime/summary.tex,True
25,show_25_FireflyBioluminescence,FireflyBioluminescence,ch:fireflybioluminescence,25_FireflyBioluminescence,chapterwithsummaryfromfile,True,ENABLED,True,25_FireflyBioluminescence,True,25_FireflyBioluminescence/summary.tex,True
26,show_26_ZKProofs,ZKProofs,ch:zkproofs,26_ZKProofs,chapterwithsummaryfromfile,True,ENABLED,True,26_ZKProofs,True,26_ZKProofs/summary.tex,True
27,show_27_PlanetarySkyColors,PlanetarySkyColors,ch:planetaryskycolors,27_PlanetarySkyColors,chapterwithsummaryfromfile,True,ENABLED,True,27_PlanetarySkyColors,True,27_PlanetarySkyColors/summary.tex,True
28,show_28_NegativeTemp,NegativeTemp,ch:negativetemperature,28_NegativeTemp,chapterwithsummaryfromfile,True,ENABLED,True,28_NegativeTemp,True,28_NegativeTemp/summary.tex,True
29,show_29_HatMonotile,HatMonotile,ch:hatmonotile,29_HatMonotile,chapterwithsummaryfromfile,True,ENABLED,True,29_HatMonotile,True,29_HatMonotile/summary.tex,True
30,show_30_SimpsonsParadox,SimpsonsParadox,ch:simpsonsparadox,30_SimpsonsParadox,chapterwithsummaryfromfile,True,ENABLED,True,30_SimpsonsParadox,True,30_SimpsonsParadox/summary.tex,True
31,show_31_OsmosisDebye,osmosis_Debye,ch:osmosisdebye,31_osmosis_Debye,chapterwithsummaryfromfile,True,ENABLED,True,31_osmosis_Debye,True,31_osmosis_Debye/summary.tex,True
32,show_32_AtomicClocks,AtomicClocks,ch:atomic,32_AtomicClocks,chapterwithsummaryfromfile,True,ENABLED,True,32_AtomicClocks,True,32_AtomicClocks/summary.tex,True
33,show_33_IncubationInequality,IncubationInequality,ch:incubationinequality,33_IncubationInequality,chapterwithsummaryfromfile,True,ENABLED,True,33_IncubationInequality,True,33_IncubationInequality/summary.tex,True
34,show_34_BoltzmannBrain,BoltzmannBrain,ch:boltzmannbrain,34_BoltzmannBrain,chapterwithsummaryfromfile,True,ENABLED,True,34_BoltzmannBrain,True,34_BoltzmannBrain/summary.tex,True
35,show_35_TreesFromAir,TreesFromAir,ch:treesfromair,35_TreesFromAir,chapterwithsummaryfromfile,True,ENABLED,True,35_TreesFromAir,True,35_TreesFromAir/summary.tex,True
36,show_36_QFTvGR,qft_vs_gr,ch:qftvsgr,36_qft_vs_gr,chapterwithsummaryfromfile,True,ENABLED,True,36_qft_vs_gr,True,36_qft_vs_gr/summary.tex,True
37,show_37_DarkMatterEvidence,DarkMatterEvidence,ch:darkmatterevidence,37_DarkMatterEvidence,chapterwithsummaryfromfile,True,ENABLED,True,37_DarkMatterEvidence,True,37_DarkMatterEvidence/summary.tex,True
38,show_38_ChristmasTruce,ChristmasTruce1914.,ch:christmastruce1914,38_ChristmasTruce1914,chapterwithsummaryfromfile,True,ENABLED,True,38_ChristmasTruce1914,True,38_ChristmasTruce1914/summary.tex,True
39,show_39_SuperpermutationsBreakthrough,SuperpermutationsBreakthrough,ch:superpermutationsbreakthrough,39_SuperpermutationsBreakthrough,chapterwithsummaryfromfile,True,ENABLED,True,39_SuperpermutationsBreakthrough,True,39_SuperpermutationsBreakthrough/summary.tex,True
40,show_40_BoomerangFlight,BoomerangFlight,ch:boomerang,40_BoomerangFlight,chapterwithsummaryfromfile,True,ENABLED,True,40_BoomerangFlight,True,40_BoomerangFlight/summary.tex,True
41,show_41_HoughTransfrom,HoughTransfrom,ch:hough,41_HoughTransfrom,chapterwithsummaryfromfile,True,ENABLED,True,41_HoughTransfrom,True,41_HoughTransfrom/summary.tex,True
42,show_42_IceSlipperiness,IceSlipperiness,ch:iceslipperiness,42_IceSlipperiness,chapterwithsummaryfromfile,True,ENABLED,True,42_IceSlipperiness,True,42_IceSlipperiness/summary.tex,True
43,show_43_NearFlatUniverse,NearFlatUniverse,ch:nearflatuniverse,43_NearFlatUniverse,chapterwithsummaryfromfile,True,ENABLED,True,43_NearFlatUniverse,True,43_NearFlatUniverse/summary.tex,True
44,show_44_IronMask,IronMask,ch:ironmask,44_IronMask,chapterwithsummaryfromfile,True,ENABLED,True,44_IronMask,True,44_IronMask/summary.tex,True
45,show_45_MaxwellDemon,MaxwellDemon,ch:maxwelldemon,45_MaxwellDemon,chapterwithsummaryfromfile,True,ENABLED,True,45_MaxwellDemon,True,45_MaxwellDemon/summary.tex,True
46,show_46_WoodwardHoffmannRules,WoodwardHoffmannRules,ch:woodwardhoffmannrules,46_WoodwardHoffmannRules,chapterwithsummaryfromfile,True,ENABLED,True,46_WoodwardHoffmannRules,True,46_WoodwardHoffmannRules/summary.tex,True
47,show_47_ObserverDependentVacuum,WoodwardHoffmannRules,ch:observervac,47_ObserverDependentVacuum,chapterwithsummaryfromfile,True,ENABLED,True,47_ObserverDependentVacuum,True,47_ObserverDependentVacuum/summary.tex,True
48,show_48_ThreeBody,three_body,ch:threebody,48_three_body,chapterwithsummaryfromfile,True,ENABLED,True,48_three_body,True,48_three_body/summary.tex,True
49,show_49_IVFmtDNA,IVFmtDNA,ch:ivfmtdna,49_IVFmtDNA,chapterwithsummaryfromfile,True,ENABLED,True,49_IVFmtDNA,True,49_IVFmtDNA/summary.tex,True
50,show_50_LangtonsAnt,LangtonsAnt,ch:langtons,50_LangtonsAnt,chapterwithsummaryfromfile,True,ENABLED,True,50_LangtonsAnt,True,50_LangtonsAnt/summary.tex,True
51,show_51_PhotosynthesisQuantumEfficiency,Illuminating Life: The Science of Photosynthesis,ch:photosynthesis-quantumefficiency,51_Photosynthesis_QuantumEfficiency,chapter_with_optional,False,DISABLED,False,,False,,False
52,show_52_QuantumSubspaceAngles,Angles of Connection: Geometry in Quantum Subspaces,ch:quantumsubspaceangles,52_QuantumSubspaceAngles,chapter_with_optional,False,DISABLED,True,52_QuantumSubspaceAngles,False,,False
53,show_53_BodySwappingPuzzle,The Futurama Theorem,ch:bodyswappingpuzzle,53_BodySwappingPuzzle,chapterwithsummary,True,ENABLED,True,53_BodySwappingPuzzle,False,,False
